test_acc,misclustering,nmi,ari,k_found,wall_sec,lambda,seed
0.6501499992609024,0.030000000000000027,0.8347636587075117,0.8824165642894751,2,16.618863105773926,0.022359229624271393,0
0.6510000008344651,0.0,1.0,1.0,2,19.176966667175293,0.022359229624271393,1
0.6127499994635582,0.030000000000000027,0.8347636587075117,0.8824165642894751,2,17.6427960395813,0.022359229624271393,2
0.6603999984264374,0.0,1.0,1.0,2,22.598920106887817,0.03353884443640709,0
0.6512999999523162,0.0,1.0,1.0,2,23.20268988609314,0.03353884443640709,1
0.6233000004291535,0.0,1.0,1.0,2,20.658467531204224,0.03353884443640709,2
0.6603999984264374,0.0,1.0,1.0,2,20.20941972732544,0.044718459248542786,0
0.6512999999523162,0.0,1.0,1.0,2,19.39496374130249,0.044718459248542786,1
0.6233000004291535,0.0,1.0,1.0,2,23.90764570236206,0.044718459248542786,2
0.6603999984264374,0.0,1.0,1.0,2,19.20913076400757,0.05589807406067848,0
0.41594999939203264,0.5,0.0,0.0,1,26.02924656867981,0.05589807406067848,1
0.40945000052452085,0.5,0.0,0.0,1,21.196155309677124,0.05589807406067848,2
0.44049999862909317,0.5,0.0,0.0,1,20.012972116470337,0.06707768887281418,0
0.41594999939203264,0.5,0.0,0.0,1,27.019517421722412,0.06707768887281418,1
0.40945000052452085,0.5,0.0,0.0,1,28.52001643180847,0.06707768887281418,2
