test_acc,misclustering,nmi,ari,k_found,wall_sec,R,beta,seed
0.14010000001639128,0.0,1.0,1.0,2,3.7184367179870605,0,0.0,0
0.16245000094175338,0.0,1.0,1.0,2,3.2504560947418213,0,0.0,1
0.1767500001937151,0.0,1.0,1.0,2,4.147990703582764,0,0.0,2
0.14010000001639128,0.0,1.0,1.0,2,2.966390371322632,0,0.1,0
0.16245000094175338,0.0,1.0,1.0,2,3.380443572998047,0,0.1,1
0.1767500001937151,0.0,1.0,1.0,2,3.1118814945220947,0,0.1,2
0.14010000001639128,0.0,1.0,1.0,2,3.1787543296813965,0,0.2,0
0.16245000094175338,0.0,1.0,1.0,2,3.341846227645874,0,0.2,1
0.1767500001937151,0.0,1.0,1.0,2,3.1366055011749268,0,0.2,2
0.6607999980449677,0.0,1.0,1.0,2,47.74568319320679,1,0.0,0
0.6519499987363815,0.0,1.0,1.0,2,25.740811347961426,1,0.0,1
0.6247500002384185,0.0,1.0,1.0,2,33.9183075428009,1,0.0,2
0.6603999984264374,0.0,1.0,1.0,2,37.02866530418396,1,0.1,0
0.6512999999523162,0.0,1.0,1.0,2,39.00226378440857,1,0.1,1
0.6233000004291535,0.0,1.0,1.0,2,32.06527853012085,1,0.1,2
0.6602999985218048,0.0,1.0,1.0,2,19.374846935272217,1,0.2,0
0.6516500002145768,0.0,1.0,1.0,2,19.158905029296875,1,0.2,1
0.6233000010251999,0.0,1.0,1.0,2,19.572519063949585,1,0.2,2
0.7339000016450882,0.0,1.0,1.0,2,32.02883720397949,2,0.0,0
0.7272500002384186,0.0,1.0,1.0,2,34.39250469207764,2,0.0,1
0.7217999994754791,0.0,1.0,1.0,2,36.83104157447815,2,0.0,2
0.7342000013589859,0.0,1.0,1.0,2,43.88754749298096,2,0.1,0
0.7271999996900559,0.0,1.0,1.0,2,48.360663175582886,2,0.1,1
0.7212499994039535,0.0,1.0,1.0,2,36.630823373794556,2,0.1,2
0.7342500013113021,0.0,1.0,1.0,2,39.81469535827637,2,0.2,0
0.7272499984502793,0.0,1.0,1.0,2,36.75076651573181,2,0.2,1
0.7199500000476837,0.0,1.0,1.0,2,35.903682470321655,2,0.2,2
